DataType,KNN,Dimensions,NumPoints,Time,Distribution
Bucket,2,10,1600,0.484222,Gaussian
Bucket,2,10,3200,0.536184,Gaussian
Bucket,2,10,6400,0.548870,Gaussian
Bucket,2,10,12800,0.586532,Gaussian
Bucket,2,10,25600,0.574888,Gaussian
Bucket,2,10,51200,0.454760,Gaussian
Bucket,3,10,50,0.539684,Gaussian
Bucket,3,10,100,0.590129,Gaussian
Bucket,3,10,200,0.512063,Gaussian
Bucket,3,10,400,0.523874,Gaussian
Bucket,3,10,800,0.535543,Gaussian
Bucket,3,10,1600,0.560406,Gaussian
Bucket,3,10,3200,0.522696,Gaussian
Bucket,3,10,6400,0.553238,Gaussian
Bucket,3,10,12800,0.523658,Gaussian
Bucket,3,10,25600,0.494373,Gaussian
Bucket,3,10,51200,0.583062,Gaussian
Bucket,4,10,50,0.611447,Gaussian
Bucket,4,10,100,0.618465,Gaussian
Bucket,4,10,200,0.633266,Gaussian
Bucket,4,10,400,0.527779,Gaussian
Bucket,4,10,800,0.617715,Gaussian
Bucket,4,10,1600,0.530411,Gaussian
Bucket,4,10,3200,0.579663,Gaussian
Bucket,4,10,6400,0.573911,Gaussian
Bucket,4,10,12800,0.550025,Gaussian
Bucket,4,10,25600,0.499677,Gaussian
Bucket,4,10,51200,0.548690,Gaussian
Bucket,5,10,50,0.583574,Gaussian
Bucket,5,10,100,0.579061,Gaussian
Bucket,5,10,200,0.495373,Gaussian
Bucket,5,10,400,0.625530,Gaussian
Bucket,5,10,800,0.558022,Gaussian
Bucket,5,10,1600,0.567464,Gaussian
Bucket,5,10,3200,0.664348,Gaussian
Bucket,5,10,6400,0.589278,Gaussian
Bucket,5,10,12800,0.527062,Gaussian
Bucket,5,10,25600,0.534773,Gaussian
Bucket,5,10,51200,0.640820,Gaussian
Bucket,6,10,50,0.585883,Gaussian
Bucket,6,10,100,0.631691,Gaussian
Bucket,6,10,200,0.562969,Gaussian
Bucket,6,10,400,0.680038,Gaussian
Bucket,6,10,800,0.645182,Gaussian
Bucket,6,10,1600,0.627458,Gaussian
Bucket,6,10,3200,0.568942,Gaussian
Bucket,6,10,6400,0.535012,Gaussian
Bucket,6,10,12800,0.517336,Gaussian
Bucket,6,10,25600,0.495721,Gaussian
Bucket,6,10,51200,0.532655,Gaussian
Bucket,7,10,50,0.540770,Gaussian
Bucket,7,10,100,0.564137,Gaussian
Bucket,7,10,200,0.610697,Gaussian
Bucket,7,10,400,0.692860,Gaussian
